news_publisher,article_date,article_links,Bias_1,Clickbait Bias_1,Selection Bias_1,Framing Bias_1,Linguistic Bias_1,Ideology Bias_1,Stance Bias_1,Omission Bias_1,Fact Bias_1,Emotional Bias_1,Explanation_1,Bias_2,Clickbait Bias_2,Selection Bias_2,Framing Bias_2,Linguistic Bias_2,Ideology Bias_2,Stance Bias_2,Omission Bias_2,Fact Bias_2,Emotional Bias_2,Explanation_2
Aaj Tak,12/27/2025,https://www.aajtak.in/india/politics/story/congress-mnrega-bachao-andolan-rahul-gandhi-kharge-5-january-ntc-rpti-2424131-2025-12-27,yes,0,0,1,0,0,1,1,0,1,"1.“नोटबंदी की तरह यह फैसला भी अकेले दम पर लिया गया।” -नोटबंदी” is negative frame , 2.अगर मनरेगा नहीं होता तो लाखों लोगों की जान जा सकती थी - unverified emotional statements creates bias , 3.“कांग्रेस ने केंद्र सरकार पर मनरेगा को कमजोर करने का आरोप लगाया - no counter info",yes,0,0,1,0,0,0,1,0,1,"1. ""राहुल गांधी ने MNREGA का नाम बदलने के फैसले को लेकर केंद्र सरकार पर तीखा हमला बोला."", ""कांग्रेस नेतृत्व ने केंद्र सरकार द्वारा मनरेगा (MGNREGA) योजना को कमजोर करने का आरोप लगाते हुए"" => negative framing 2. Omission bias is clear since MNREGA is not explained, only arguments against it are highlighted 3. ""राहुल गांधी बोले- फैसला नोटबंदी जैसा विनाशकारी"", “इस फैसले से आदिवासी, दलित, ओबीसी, अल्पसंख्यक और गरीब सामान्य वर्ग को भारी नुकसान होगा"" => emotional bias caused due to repetitive clustering of emotionally negative quotes together"
Aaj Tak,12/26/2025,https://www.aajtak.in/opinion-analysis-/story/bmc-election-mahayuti-seat-sharing-fadnavis-shinde-ajit-pawar-opnm1-dskc-2422662-2025-12-26,yes,0,0,1,1,0,1,0,0,0,"1.Framing- बीएमसी चुनाव अगर विपक्षी महाविकास आघाड़ी के लिए अस्तित्व की लड़ाई का मैदान है, तो सत्ताधारी महायुति के लिए सियासी वर्चस्व साबित करने का बेहतरीन मौका…”, महायुति की स्थिति भी बहुत ज्यादा अलग तो नहीं है, लेकिन थोड़ी बेहतर लगती है.”, 2. Linguistic- बीजेपी की जिद के सामने एकनाथ शिंदे और अजित पवार की बड़ी दावेदारी…Calling one side “stubborn” implies negative judgment rather than neutral description.",yes,0,0,1,1,0,0,0,0,0,"1. Linguistic: ""बीएमसी चुनाव अगर विपक्षी गठबंधन महाविकास आघाड़ी के लिए अस्तित्व की लड़ाई का मैदान है, तो सत्ताधारी महायुति के लिए सियासी वर्चस्व"" =>exaggeration and loaded words 2. Framing: ""महाराष्ट्र में सत्ताधारी महायुति के लिए बीएमसी चुनाव कितना आसान और कितना मुश्किल?"" =>article framed as an advantage vs disadvantage problem rather than neutral framing"
Aaj Tak,12/26/2025,https://www.aajtak.in/india/politics/story/bjp-makes-history-kerala-winning-thiruvananthapuram-mayor-election-vv-rajesh-ntcpbt-rpti-2423155-2025-12-26,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/26/2025,https://www.aajtak.in/opinion-analysis-/story/communist-party-of-india-cpi-hundred-anniversary-where-is-left-front-ideology-politics-as-compared-to-rss-opnm1-dskc-2423030-2025-12-26,yes,0,1,1,1,0,1,1,0,0,"Framing-आरएसएस साल भर से अलग अलग राजनीतिक गतिविधियों में छाया हुआ है, जबकि सीपीआई के समर्थकों की रस्म-अदायगी भर महसूस होती है , “भारतीय जनता पार्टी के केंद्र और देश कई राज्यों में सरकार होने की वजह से प्रभाव बना हुआ है, जबकि सीपीआई महज केरल में सत्ताधारी गठबंधन LDF में एक हिस्सेदार भर रह गई है.” , लेकिन CPI आज कहां, और कितने पानी में है.” Linguistic Bias - मात्र रस्म-अदायगी” (only ceremonial observance)  -- stance/omission -towards RSS than CPI",yes,0,1,1,1,0,1,1,0,0,"1. Framing: ""RSS साल भर से अलग अलग राजनीतिक गतिविधियों में छाया हुआ है, जबकि सीपीआई के समर्थकों की रस्मअदायगी भर महसूस होती है."" => framed as a comparison with RSS being better 2. Linguistic: ""समर्थकों की रस्मअदायगी भर महसूस होती है"", ""जबकि सीपीआई महज"" => usage of terms like 'ceremonial' for CPI 3. Selection and Stance bias clear since CPI's faults are highlighted more than RSS 4. Omission: CPI highlighted more than RSS"
Aaj Tak,12/26/2025,https://www.aajtak.in/opinion-analysis-/story/anti-hate-law-passed-in-the-karnataka-assembly-why-bjp-calling-a-black-law-opns2-dskc-2423035-2025-12-26,yes,1,1,1,0,0,0,1,0,0,"Framing Bias- “कर्नाटक में कांग्रेस सरकार द्वारा हाल ही में विधानसभा के दोनों सदनों में पेश किए गए… काला कानून बताकर विरोध कर रही है.”, क्यों कहा जा रहा कि कर्नाटक का ये कानून पुलिस को हिटलर बना देगा?” ) Omission / Selection Bias- “…लेकिन इस बात से इनकार नहीं किया जा सकता है कि इस तरह के कानूनों का इतना दुरुपयोग होता है कि इसे बनाने के पीछे की मूल भावना ही खत्म हो जाती है.”",yes,1,0,1,1,0,1,0,0,1,"1. Framing: ""कर्नाटक में कांग्रेस सरकार द्वारा…एंटी-हेट बिल...को लेकर काफी बहस हो रही है. भारतीय जनता पार्टी इसे एक काला कानून बताकर विरोध कर रही है."", ""यह कानून राजनीतिक प्रतिशोध, अभिव्यक्ति की स्वतंत्रता को दबाने और चयनात्मक प्रवर्तन के लिए इस्तेमाल किया जा सकता है."" =>law framed as negative from the beginning  2. Stance: “लेकिन इस बात से इनकार नहीं किया जा सकता है कि इस तरह के कानूनों का इतना दुरुपयोग होता है कि”  3. Linguistic: ""इस कानून को दमनकारी, असंवैधानिक या नागरिक अधिकारों का उल्लंघन करने वाला""  4. Emotional bias through repetitive negative implications"
Aaj Tak,12/26/2025,https://www.aajtak.in/madhya-pradesh/story/mp-politics-vishvas-sarang-vs-kamalnath-farmer-loan-waiver-controversy-lcln-dskc-2423062-2025-12-26,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/26/2025,https://www.aajtak.in/india/politics/story/narendra-modi-cabinet-6-ministers-rajya-sabha-team-2026-political-challenge-ntcpkb-dskc-2423026-2025-12-26,yes,0,0,1,0,0,0,0,0,0,"Framing Bias - “…विधानसभा में बीजेपी की मजबूत स्थिति है, इसलिए माना जा रहा है कि वह आठ सीटें जीत सकती है…” , …अगर बीजेपी इन्हें राज्यसभा में फिर मौका नहीं देती है तो मंत्रिमंडल से छुट्टी हो जाएगी.”",no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/25/2025,https://www.aajtak.in/india/politics/story/congress-sam-pitroda-exclusive-rahul-gandhi-germany-visit-ntc-rpti-2422601-2025-12-25,no,0,0,0,0,0,0,0,0,0,,yes,0,1,0,0,0,0,1,0,0,"Selection and Omission bias since only Sam Pitroda's voice is highlighted, and does not include any counterquotes from BJP. Details about Germany trip omitted"
Aaj Tak,12/25/2025,https://www.aajtak.in/india/politics/story/hanuman-chalisa-church-christmas-row-sanjay-singh-raises-questions-ntc-dskc-2422532-2025-12-25,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
Aaj Tak,12/25/2025,https://www.aajtak.in/madhya-pradesh/story/amit-shah-gwalior-visit-mohan-yadav-more-energetic-than-shivraj-growth-summit-lcln-dskc-2422411-2025-12-25,no,0,0,0,0,0,0,0,0,0,,no,0,0,0,0,0,0,0,0,0,
